일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
11:21.7,36.2187,124.695,-23.8,대지방전
11:40.3,36.9946,125.826,19.5,대지방전
16:25.5,37.5988,127.163,9.1,구름방전
16:53.0,37.1651,126.234,25.5,대지방전
19:38.7,37.0403,125.914,12.4,대지방전
19:38.8,36.9508,125.862,-63.1,대지방전
27:04.2,37.0827,126.122,-42.9,대지방전
27:04.5,37.0733,126.097,-51.8,대지방전
33:18.4,36.5737,124.905,-26.9,대지방전
36:08.8,37.6884,127.312,-18.6,구름방전
36:36.7,36.5965,124.982,-28.2,대지방전
37:08.1,37.2364,126.483,11.4,대지방전
37:08.1,37.2858,126.363,8.1,구름방전
39:01.7,36.5922,125.086,-98.5,대지방전
39:01.8,36.605,125.09,-43.6,대지방전
39:47.9,37.2762,126.473,-28.2,대지방전
40:41.0,36.6131,125.072,14.1,대지방전
40:41.0,36.598,125.029,-19.1,대지방전
40:54.9,37.1727,126.178,-13.7,대지방전
40:55.0,37.216,126.208,115.1,대지방전
43:23.2,37.3028,126.498,-17.4,대지방전
44:14.0,36.5876,125.062,-64.7,대지방전
45:19.7,36.6138,125.074,17.7,대지방전
45:33.6,37.1881,126.149,-16.8,대지방전
47:44.9,37.1301,126.159,45.2,대지방전
48:10.7,36.5645,125.018,-29.6,대지방전
48:11.0,36.5885,125.136,-48.5,대지방전
49:43.3,36.918,125.536,-28.3,구름방전
50:23.6,37.1728,126.225,-10.5,대지방전
52:41.9,36.6012,125.121,-38,대지방전
52:41.9,36.6565,125.115,-30.8,대지방전
53:16.8,36.595,125.123,-58.4,대지방전
53:16.8,36.6101,125.149,-36.3,대지방전
54:56.4,36.6394,125.165,23.6,대지방전
54:56.4,36.6353,125.188,-38.2,대지방전
56:06.9,36.6461,125.19,-53.5,대지방전
56:24.0,36.9563,125.577,-26,대지방전
56:37.0,36.6479,125.184,18.9,대지방전
57:16.0,36.6222,125.149,-62.5,대지방전
57:16.1,36.6332,125.405,-18.5,구름방전
58:12.7,36.6475,125.199,-80.9,대지방전
59:12.6,36.6618,125.146,-49.8,대지방전
59:27.6,36.5303,124.749,30.5,대지방전
00:23.7,36.6795,125.214,-55.7,대지방전
00:23.7,36.6748,125.203,-26.7,구름방전
00:23.8,36.6843,125.197,-23.4,대지방전
00:23.9,36.6766,125.19,-23.5,대지방전
00:23.9,36.6804,125.314,-25,대지방전
00:44.7,36.5334,124.767,-23.8,대지방전
00:44.7,36.5384,124.753,21.5,대지방전
00:51.6,37.4235,125.283,-55.4,대지방전
01:25.2,36.7122,125.27,-46.1,대지방전
03:43.9,37.4265,125.322,-24.1,대지방전
03:43.9,37.41,125.319,-67.9,대지방전
04:13.0,36.6899,125.241,-68.5,대지방전
04:13.1,36.7,125.21,-25.8,대지방전
05:05.7,36.6998,125.193,21.8,대지방전
05:19.9,37.2509,126.144,-27,구름방전
05:58.5,36.7232,125.312,-60.5,대지방전
05:58.6,36.719,125.33,-35,대지방전
05:58.6,36.7294,125.317,-36.4,대지방전
05:58.8,36.7317,125.311,-25.4,대지방전
06:40.4,36.6313,125.279,24.5,대지방전
07:23.3,36.7013,125.346,-71.2,대지방전
07:23.3,36.7025,125.35,-46.1,대지방전
07:23.4,36.6991,125.361,-37.3,대지방전
07:23.4,36.7,125.342,-27.9,대지방전
08:22.5,37.2597,126.078,-25.7,대지방전
08:22.5,37.2713,126.071,-24,대지방전
08:22.5,37.275,126.068,-12.4,대지방전
08:22.9,37.3418,126.651,42.6,구름방전
08:26.7,36.687,125.27,-30,대지방전
12:24.9,36.6984,125.234,28.8,대지방전
13:21.2,36.6576,125.373,18.2,대지방전
14:26.8,37.2095,126.1,26.6,대지방전
14:26.9,37.2182,126.149,79.9,대지방전
17:13.5,36.6812,125.406,17,대지방전
17:13.5,36.7072,125.348,29.6,대지방전
17:13.5,36.6796,125.408,17.4,대지방전
17:40.2,37.2377,126.161,11.4,대지방전
18:57.6,36.7078,125.306,-40.4,대지방전
18:57.6,36.6815,125.501,21.5,대지방전
18:58.1,36.7906,125.405,-46.8,대지방전
18:58.1,36.7925,125.389,-35.5,대지방전
19:40.9,37.4829,125.525,24.8,대지방전
20:18.6,36.7919,125.414,-47.8,대지방전
21:08.6,37.2542,126.134,-12,대지방전
21:20.3,36.7807,125.329,17.8,구름방전
21:20.3,36.7856,125.289,10.3,대지방전
22:43.4,36.607,124.863,22.7,대지방전
23:31.3,36.6129,124.885,20.6,대지방전
24:04.0,36.7981,125.307,-10.5,대지방전
25:36.1,37.2361,126.173,103.1,대지방전
25:40.9,37.4981,127.108,-25.2,대지방전
25:40.9,37.4969,127.122,21.8,대지방전
25:40.9,37.5002,127.118,-10.1,대지방전
26:41.4,36.6122,124.883,-50.2,대지방전
29:11.1,36.8324,125.599,16.9,대지방전
29:37.0,36.6349,124.92,-44.3,대지방전
29:37.1,36.6373,124.918,-39.3,대지방전
30:41.1,36.6103,125.08,-30.4,대지방전
30:41.2,36.6597,125.03,-22.4,대지방전
31:31.0,36.7221,125.294,-21.4,대지방전
31:43.0,37.5116,126.773,24.1,구름방전
32:00.5,36.6187,124.799,-29.2,대지방전
32:10.3,37.1462,126.15,-19.6,대지방전
32:18.1,36.7814,125.53,18.9,대지방전
34:21.9,37.4493,126.868,-26.2,구름방전
34:55.4,36.7483,125.327,-36.3,대지방전
35:11.6,36.6707,124.915,21.5,대지방전
35:11.6,36.6524,124.961,-31.7,대지방전
39:58.3,37.4017,126.966,-10.8,구름방전
39:58.4,37.4005,126.934,-11.9,대지방전
43:09.0,37.4496,126.948,-12.6,대지방전
43:09.1,37.3947,126.951,-12.8,구름방전
44:42.1,36.8469,125.604,-81.5,대지방전
47:04.7,37.3241,126.217,99.5,대지방전
47:17.2,36.6734,125.044,-67.4,대지방전
47:17.3,36.6755,125.081,-26.4,대지방전
47:17.5,36.6794,125.048,-21.3,대지방전
48:15.8,37.4931,127.008,-15.6,대지방전
49:34.8,37.4703,126.975,-14.1,구름방전
49:34.8,37.441,127.029,-16.4,대지방전
50:48.4,37.445,127.064,-6.9,대지방전
50:48.5,37.4527,127.036,-12.6,대지방전
51:09.9,36.7833,125.479,-33.1,대지방전
51:21.4,37.4716,127.054,-23.6,구름방전
51:21.5,37.4376,127.031,-27.2,대지방전
51:21.6,37.4408,127.036,-11,대지방전
51:21.7,37.4391,127.039,-15.7,대지방전
51:34.6,37.0781,126.031,-19.6,대지방전
52:13.3,37.4615,127.019,-17.6,대지방전
52:13.4,37.4639,127.024,-29.3,대지방전
52:46.5,36.7968,125.566,-27.8,대지방전
53:17.9,37.4563,127.071,-91.3,대지방전
53:18.0,37.4574,127.072,-16.9,대지방전
53:18.0,37.4537,127.076,-23.2,대지방전
53:18.0,37.4584,127.072,-15.6,구름방전
53:18.0,37.4581,127.069,-10.2,대지방전
53:18.1,37.4564,127.071,-27.8,대지방전
53:18.1,37.4571,127.072,-15.2,대지방전
55:09.0,37.4761,127.038,-44.4,대지방전
55:09.2,37.4694,127.034,-27.5,대지방전
56:06.5,37.4516,127.012,-37.5,대지방전
56:06.9,37.4542,127.016,-16.8,대지방전
56:18.5,36.7957,125.481,-87.9,대지방전
57:08.3,37.4711,127.055,-9.2,구름방전
57:41.0,37.4808,127.055,-12.1,구름방전
58:40.3,36.7964,125.509,12.9,구름방전
59:56.4,36.8125,125.536,-46.7,대지방전
59:56.4,36.8143,125.64,-23.7,대지방전
59:56.6,36.8149,125.534,-25.9,대지방전
59:56.7,36.8156,125.54,-14.2,대지방전
00:10.7,37.2918,127.429,-31.6,대지방전
01:03.9,37.47,127.088,-38,대지방전
01:03.9,37.4664,127.093,-10.3,대지방전
01:04.0,37.4963,127.086,-16.9,구름방전
01:04.1,37.4779,127.097,-10.6,대지방전
01:04.1,37.4575,127.096,-8.2,대지방전
01:04.2,37.4835,127.088,-37.7,대지방전
01:04.3,37.4773,127.089,-8.8,대지방전
01:21.4,36.8059,125.521,17.7,구름방전
01:21.4,36.8099,125.506,-25.4,구름방전
03:23.4,37.4639,127.127,6.9,대지방전
04:35.0,37.4707,127.115,12.3,구름방전
06:31.7,37.4168,127.003,-12.8,구름방전
07:56.0,37.245,126.731,-30.6,대지방전
09:02.4,37.2501,126.761,-8.2,대지방전
09:07.2,36.8572,125.589,-16.8,구름방전
09:59.0,36.8275,125.588,-64.5,대지방전
09:59.0,36.8307,125.586,-30.7,구름방전
10:21.7,37.4367,127.085,7.5,구름방전
10:32.7,37.425,127.074,-10.7,대지방전
10:32.8,37.4248,127.072,-12.9,대지방전
10:38.5,36.8279,125.61,-35.6,대지방전
10:38.8,36.8331,125.602,-27,대지방전
10:38.9,36.8251,125.623,-16,대지방전
10:45.6,37.2767,126.745,-10.9,대지방전
11:47.5,37.4446,127.059,-12.7,대지방전
11:47.5,37.4637,127.114,-9.1,대지방전
11:48.0,36.8353,125.611,-49.9,구름방전
11:48.1,36.8389,125.633,-20.7,대지방전
13:25.1,37.3245,127.503,-15.7,대지방전
13:54.6,36.8753,125.746,-23.6,대지방전
15:46.1,37.4465,127.115,-39.3,대지방전
15:46.2,37.4324,127.082,-20.6,대지방전
15:46.2,37.4465,127.119,-17.5,대지방전
15:46.3,37.5069,127.122,-8.3,대지방전
15:49.1,36.8881,125.759,-84.6,대지방전
15:49.4,36.901,125.772,-17.7,대지방전
16:23.5,36.5341,124.394,-28.6,대지방전
16:36.3,36.9021,125.734,-27.4,구름방전
17:34.5,37.4526,127.08,-59.7,대지방전
17:34.5,37.4555,127.084,-23.8,구름방전
17:34.5,37.4768,127.088,-19.7,대지방전
18:04.4,36.9123,125.764,-74.6,대지방전
18:33.4,36.7991,125.1,-52.2,대지방전
19:03.2,36.8217,125.61,-11.9,대지방전
19:48.0,37.5,127.123,-60.5,대지방전
19:48.2,37.4961,127.111,-15.6,대지방전
20:04.8,36.845,125.689,-38.7,대지방전
20:04.9,36.8214,125.671,-17.6,대지방전
21:39.4,36.8437,125.691,-35.3,대지방전
21:39.5,36.8294,125.736,-15.9,대지방전
22:05.6,37.4856,127.119,-64.3,대지방전
22:05.6,37.4883,127.116,-44.9,대지방전
22:05.6,37.5559,127.147,27.1,대지방전
22:26.9,36.8067,125.551,18.3,구름방전
23:53.1,36.8493,125.713,-83.8,대지방전
25:10.0,36.7958,125.138,-79.6,대지방전
25:18.3,36.8634,125.729,21,대지방전
25:18.3,36.8625,125.718,-74.4,구름방전
25:18.4,36.8587,125.729,-26.7,대지방전
25:18.4,36.8916,125.736,-25.4,대지방전
25:18.6,36.867,125.727,-17.3,대지방전
29:16.4,37.4678,127.499,-20,구름방전
29:42.0,36.827,125.118,47.4,대지방전
29:42.0,36.8417,125.109,25.2,대지방전
29:42.1,36.8259,125.13,-76.1,대지방전
29:42.1,36.8294,125.117,-34.3,대지방전
30:24.5,36.7953,125.711,-26.4,대지방전
30:24.5,36.8053,125.711,-41.1,구름방전
30:28.2,36.8029,125.233,20.1,대지방전
31:04.4,36.8155,125.379,-33.5,대지방전
31:36.9,36.8368,125.187,-17,대지방전
31:37.0,36.8843,125.216,-30.5,대지방전
33:10.2,36.8657,125.299,-40.6,대지방전
36:06.9,36.9062,125.732,20.2,대지방전
36:45.4,36.8675,125.253,14.9,대지방전
36:45.7,36.8956,125.316,-30.2,대지방전
36:58.6,36.9345,125.978,-24.7,대지방전
36:58.6,36.929,125.98,-23.5,대지방전
37:04.4,37.4612,127.545,-40.1,대지방전
37:34.1,36.8302,125.435,-18.9,대지방전
38:08.0,37.4527,127.548,-37.1,대지방전
38:08.1,37.4569,127.562,-15.1,대지방전
38:08.1,37.459,127.557,-12.1,대지방전
38:26.3,36.8354,125.422,-30.4,대지방전
38:52.5,37.4639,127.54,-14.4,대지방전
39:49.5,36.8464,125.434,-19.1,대지방전
40:43.9,36.8709,125.316,-28.1,대지방전
42:15.0,36.8951,125.812,-23.2,대지방전
42:15.2,36.8868,125.811,20.1,대지방전
42:43.5,37.4959,127.605,9.5,대지방전
42:53.9,36.8686,125.311,-75.1,대지방전
42:54.0,36.8642,125.312,-26.9,대지방전
44:13.2,36.9151,125.796,-16.9,대지방전
45:08.8,36.8756,125.285,-34,대지방전
45:42.5,37.4877,127.539,-13,대지방전
46:12.9,36.9163,125.671,-23.7,대지방전
46:13.0,36.9258,125.673,32.7,대지방전
46:13.3,36.8993,125.816,15.3,대지방전
46:13.5,36.9057,125.987,-29.2,대지방전
47:05.5,37.5061,127.595,-13.2,대지방전
48:48.9,37.1925,126.241,-27.9,대지방전
49:05.5,36.9325,125.75,-44.2,구름방전
49:20.7,36.8257,125.544,22.9,대지방전
51:02.6,36.8959,125.37,-32,대지방전
51:20.4,36.9487,125.814,-18.6,대지방전
52:27.7,37.5558,127.433,20.9,대지방전
53:33.8,36.956,125.814,-30.5,대지방전
53:50.2,36.8904,125.434,-32.9,대지방전
53:50.5,36.884,125.457,-28.7,대지방전
53:50.6,36.8926,125.441,-41.4,대지방전
55:56.6,37.3611,127.134,-12.6,대지방전
56:28.5,36.9287,125.839,-46.3,대지방전
57:21.1,36.848,125.164,-59.8,대지방전
58:44.3,36.9204,125.956,15,구름방전
58:44.5,36.8693,125.959,14,대지방전
58:50.2,36.8212,125.368,25.5,대지방전
59:31.8,37.5563,127.494,-20.9,대지방전
59:32.0,37.5457,127.499,24.3,대지방전
00:40.5,37.3937,127.156,9,대지방전
00:40.5,37.3717,127.147,-101,대지방전
00:40.5,37.3709,127.15,-26,대지방전
00:40.6,37.3729,127.15,-33,대지방전
00:47.7,36.9422,125.924,15,대지방전
02:39.4,36.9042,125.499,-28.3,대지방전
03:16.8,37.3917,127.182,-24.3,대지방전
03:16.8,37.3939,127.188,9.1,대지방전
03:56.8,37.5495,127.74,9.4,대지방전
03:56.8,37.5644,127.732,-15.4,구름방전
04:23.3,36.9493,125.887,28.5,대지방전
04:23.3,36.9455,125.889,-27.2,대지방전
05:22.8,36.9353,126.125,14.8,대지방전
05:23.0,36.8928,126.091,14.4,대지방전
05:29.2,36.9302,125.556,-36.3,대지방전
05:35.2,36.9736,125.915,-52.9,구름방전
06:02.9,37.5747,127.539,9.5,대지방전
06:26.1,37.3691,127.196,10.7,대지방전
06:26.2,37.3747,127.197,-26.6,대지방전
06:26.3,37.3402,127.234,-15.7,대지방전
07:09.6,36.9631,125.932,-19.6,구름방전
09:41.0,37.4352,127.244,-8,대지방전
09:41.0,37.4099,127.241,-20.9,대지방전
09:41.1,37.4929,127.171,-12.3,대지방전
11:09.7,36.9644,125.957,-53,대지방전
11:18.2,37.6005,127.601,14.8,대지방전
11:18.2,37.5898,127.665,21,구름방전
11:55.7,37.5929,127.739,-13.1,대지방전
15:52.7,37.3865,127.23,20.8,구름방전
16:07.3,36.9733,125.954,-28,대지방전
19:20.9,36.9721,125.493,-42.3,대지방전
19:56.9,36.9899,126.122,-33.4,대지방전
19:56.9,36.9792,126.225,92.3,대지방전
21:01.9,37.4123,127.266,-37.8,대지방전
21:01.9,37.4139,127.24,-51,구름방전
21:01.9,37.4043,127.268,-20.2,대지방전
21:02.0,37.4432,127.229,-15.7,대지방전
22:22.1,37.413,127.278,-63.3,대지방전
22:22.2,37.3882,127.277,-29.9,대지방전
22:22.3,37.4103,127.303,-10.3,대지방전
23:18.5,36.9606,126.08,-26.2,대지방전
23:18.5,36.9611,126.08,-37.9,대지방전
24:06.3,37.4091,127.301,-15.1,대지방전
25:06.7,36.9553,125.96,-26.4,대지방전
27:17.9,36.9926,126.18,-19.5,대지방전
27:17.9,36.9968,126.178,12.7,대지방전
28:59.4,37.1599,127.043,-10.1,대지방전
29:01.7,37.4222,127.335,-65.1,대지방전
29:01.8,37.4229,127.335,-31.7,대지방전
29:01.8,37.4298,127.33,-24,대지방전
29:01.9,37.4216,127.349,-24.2,대지방전
29:01.9,37.4052,127.377,-12.5,대지방전
29:30.2,36.9907,126.17,-22.3,대지방전
29:57.9,36.9671,125.392,27.9,대지방전
29:58.0,36.9771,125.41,58.1,대지방전
29:58.5,36.9667,125.612,-54.4,대지방전
31:18.9,37.6921,127.791,-9.9,대지방전
31:18.9,37.6831,127.793,56.9,대지방전
32:11.6,36.984,125.75,49.7,대지방전
33:13.3,37.4427,127.327,-15.3,대지방전
33:13.3,37.4346,127.339,-80.5,대지방전
33:27.6,36.9663,126.093,57.7,대지방전
36:05.9,36.9337,126.14,-19.7,대지방전
36:06.0,36.9442,126.149,-29.5,대지방전
36:53.7,37.6508,127.749,56.1,대지방전
37:09.4,37.7078,127.854,21,대지방전
37:14.5,36.9633,126.122,-28.6,대지방전
37:47.9,37.0519,125.588,-33.1,대지방전
38:50.1,37.4711,127.405,-10.4,대지방전
40:20.3,36.9417,126.167,-41,대지방전
40:21.5,37.1879,127.124,9.1,구름방전
41:06.1,37.0402,126.391,-37.7,대지방전
42:23.2,37.2045,127.101,-14.7,대지방전
42:23.3,37.2137,127.117,-17.8,대지방전
42:23.6,37.2143,127.112,-14.8,대지방전
42:34.5,37.5869,127.761,-29.5,대지방전
42:34.6,37.6226,127.896,-62.4,구름방전
43:02.5,37.0009,126.173,-14,대지방전
43:02.5,36.9956,126.18,18,대지방전
43:02.5,37.0006,126.176,21.8,대지방전
43:26.3,37.1864,127.088,15.3,구름방전
43:39.6,37.698,125.476,-55.8,대지방전
43:39.6,37.7077,125.469,-45.2,대지방전
43:39.6,37.7107,125.465,-34.3,대지방전
43:59.0,37.194,127.117,-12.5,구름방전
43:59.1,37.1642,127.092,-21.5,대지방전
43:59.2,37.1622,127.087,-10,대지방전
43:59.3,37.167,127.09,-17.4,대지방전
43:59.3,37.1346,127.126,-8,대지방전
44:32.8,37.6991,127.866,30.3,대지방전
44:43.1,37.1862,127.114,11.2,대지방전
44:43.4,37.1848,127.11,6.5,대지방전
45:33.9,37.1926,127.119,10,대지방전
45:33.9,37.1645,127.107,-112.6,대지방전
45:34.0,37.1944,127.133,-24.1,대지방전
45:34.0,37.1861,127.139,-25.4,대지방전
46:05.5,37.7235,125.498,-32.5,대지방전
46:18.0,37.2157,127.114,11.1,대지방전
46:53.0,37.2121,127.141,-10.3,대지방전
46:53.2,37.2125,127.151,-13.1,대지방전
47:11.1,36.9721,126.252,16.8,대지방전
47:34.1,37.2212,127.13,-39.4,대지방전
47:34.2,37.2253,127.091,-20.2,대지방전
47:34.2,37.2182,127.138,-25.8,대지방전
48:01.1,37.1546,127.143,-21,대지방전
48:01.2,37.1365,127.142,-12.6,대지방전
48:01.4,37.14,127.133,-10.7,대지방전
48:21.6,37.2256,127.138,-21.9,대지방전
48:21.7,37.2315,127.105,-30.1,대지방전
48:21.8,37.2305,127.103,-12.8,대지방전
48:21.9,37.2294,127.107,-13,대지방전
49:43.8,37.228,127.151,-68.5,대지방전
49:43.8,37.2073,127.119,7.4,대지방전
49:43.8,37.2262,127.15,-16.1,대지방전
49:43.8,37.2271,127.15,-31.9,대지방전
49:43.9,37.2269,127.151,-55.5,대지방전
49:43.9,37.2296,127.148,-15.5,대지방전
49:43.9,37.2284,127.15,-42.6,대지방전
49:44.0,37.2282,127.15,-11.2,대지방전
49:44.0,37.2299,127.15,-22,대지방전
49:44.1,37.2281,127.151,-18.4,대지방전
49:44.1,37.2283,127.153,-10.1,대지방전
50:12.7,37.1455,127.138,27.2,대지방전
50:30.3,36.9922,126.166,34,대지방전
50:30.6,36.9925,126.168,15.9,대지방전
50:41.1,37.2306,127.145,9.6,구름방전
51:39.4,37.7254,125.535,-49.8,대지방전
51:39.5,37.7303,125.529,-42.1,대지방전
51:39.6,37.7367,125.516,-43.6,대지방전
51:45.4,37.2351,127.129,12,대지방전
52:04.1,37.2336,127.157,-42.5,대지방전
52:04.3,37.2355,127.151,-69.3,대지방전
52:04.5,37.2116,127.12,-9,대지방전
52:04.6,37.2135,127.119,-35.1,대지방전
52:04.7,37.2126,127.122,-21.1,대지방전
52:44.4,37.1433,127.157,8,구름방전
53:22.8,37.2154,127.163,-74.4,대지방전
53:28.8,37.2524,127.142,8.6,구름방전
53:40.0,37.7522,125.556,36.3,대지방전
54:19.9,37.2167,127.167,-26.6,대지방전
54:19.9,37.2187,127.166,-18,대지방전
54:20.0,37.219,127.164,-18.9,대지방전
54:20.0,37.2134,127.151,-25.8,대지방전
54:20.0,37.2159,127.165,-9.6,대지방전
54:20.1,37.2133,127.148,-15.5,대지방전
54:20.2,37.213,127.148,-80.3,대지방전
54:20.3,37.2168,127.166,-9,대지방전
55:16.2,37.1442,127.183,19.6,대지방전
56:09.5,37.2141,127.196,-31.3,대지방전
56:09.6,37.2419,127.213,-13.4,대지방전
56:09.8,37.2111,127.195,-36.6,대지방전
56:24.3,37.7527,125.566,-27.8,대지방전
56:24.3,37.7574,125.561,-34.8,대지방전
56:49.8,37.1676,127.208,-23.4,대지방전
58:26.2,37.7437,125.601,-20.8,대지방전
58:26.2,37.8033,125.497,-27.3,대지방전
58:45.6,37.0398,126.237,-12.6,대지방전
58:58.8,37.244,127.227,-40.5,대지방전
58:58.8,37.2528,127.237,-28.2,대지방전
58:58.8,37.2511,127.236,-17.4,대지방전
58:58.9,37.2519,127.235,-12.8,대지방전
00:30.7,37.8086,125.66,-32.8,구름방전
00:33.0,37.8373,125.612,-48.3,대지방전
01:17.1,37.1483,127.308,-47.9,대지방전
02:02.5,37.7907,125.644,-69.2,대지방전
02:02.5,37.7945,125.642,-37.8,대지방전
02:16.8,37.8445,125.62,-29.1,대지방전
02:40.4,37.2607,127.387,-38.3,대지방전
03:35.4,37.6265,128.152,-21.6,대지방전
03:35.4,37.6566,128.164,-22.1,구름방전
04:09.4,37.3328,127.332,-39.2,대지방전
04:09.4,37.2825,127.261,9.9,대지방전
04:09.7,37.3432,127.315,-10.3,대지방전
04:09.7,37.2344,127.16,-7.5,대지방전
04:34.2,37.8063,125.668,-34.3,구름방전
04:59.4,37.565,128.125,-9.1,대지방전
06:00.3,37.2327,127.389,-48.1,대지방전
06:00.3,37.307,127.259,22.6,대지방전
06:14.7,37.8607,125.654,-32.5,대지방전
06:28.9,37.7867,125.695,-27.6,대지방전
07:34.2,37.8177,125.513,-48.9,대지방전
09:04.4,37.5812,128.159,5.5,대지방전
09:45.3,37.7963,125.681,17,대지방전
09:45.3,37.803,125.671,22.7,대지방전
09:48.2,37.7541,128.281,6.8,대지방전
11:20.3,37.2414,127.514,-9.6,대지방전
11:46.7,37.7902,125.714,-70.9,대지방전
11:46.8,37.8047,125.707,-19.7,대지방전
11:46.9,37.7879,125.718,-27.3,대지방전
11:47.0,37.8062,125.702,-24.4,대지방전
12:40.5,37.2843,127.296,17.6,대지방전
12:40.5,37.2873,127.283,-39.2,대지방전
12:40.6,37.2908,127.284,-34.1,대지방전
12:40.6,37.2995,127.313,-16,대지방전
13:46.3,37.2927,127.311,18.5,대지방전
14:33.8,37.6187,128.234,-15.7,대지방전
15:05.6,37.7957,125.792,-45.9,대지방전
15:10.8,37.3437,127.353,-21,구름방전
16:08.1,37.2934,127.339,5.6,대지방전
16:27.9,37.1745,127.239,-10.1,대지방전
17:58.4,37.2314,127.339,7,구름방전
18:49.9,37.3509,127.311,26,대지방전
19:55.3,37.6941,125.795,15.7,대지방전
19:55.3,37.829,125.767,21.1,대지방전
21:06.5,37.822,125.829,-47.6,대지방전
21:06.5,37.8223,125.835,-50.2,대지방전
21:06.7,37.9795,125.668,-14,대지방전
21:22.1,37.3115,127.562,-11.4,구름방전
21:22.2,37.2873,127.549,-15.2,대지방전
21:22.4,37.3061,127.566,-10.5,대지방전
21:22.4,37.2891,127.6,-12.8,구름방전
21:52.0,37.3432,127.352,7,대지방전
23:34.4,37.3495,127.403,-16.7,대지방전
23:39.1,37.8261,125.864,-45.6,대지방전
23:53.0,37.3409,127.57,7.1,대지방전
23:53.0,37.3415,127.565,12.3,대지방전
23:53.0,37.3386,127.567,13,구름방전
24:19.5,36.8161,126.066,17.4,구름방전
24:38.7,37.368,127.364,-22.3,대지방전
24:56.8,37.597,128.258,15,구름방전
25:06.4,37.2969,127.651,-26.1,대지방전
25:06.5,37.301,127.607,-29.1,대지방전
25:20.1,37.8395,125.863,-79.4,대지방전
26:08.1,37.3414,127.567,-9,대지방전
26:08.3,37.3278,127.537,-11,대지방전
26:08.3,37.3218,127.545,-16.2,대지방전
26:08.4,37.3264,127.541,-45.6,대지방전
26:08.4,37.8639,125.863,-30.7,대지방전
26:16.8,36.831,126.059,23.6,대지방전
26:16.8,36.8178,126.094,19.9,대지방전
27:23.5,37.8458,125.882,-14.5,대지방전
27:47.9,37.3498,127.575,-12.6,대지방전
27:48.0,37.3462,127.604,-11.6,대지방전
28:20.5,36.8522,126.088,-28,대지방전
29:04.5,37.8383,125.899,14.4,대지방전
29:04.5,37.8369,125.906,13.5,대지방전
30:55.1,37.86,125.895,17.9,대지방전
30:55.1,37.8365,125.952,14,대지방전
32:25.9,37.3777,127.397,13.1,구름방전
33:09.5,37.3642,127.691,-9.7,대지방전
33:32.1,37.8485,125.952,-27.2,대지방전
33:32.1,37.8441,125.959,30.4,대지방전
36:26.4,37.632,128.352,-19.1,대지방전
36:26.5,37.6254,128.35,6.7,대지방전
37:36.7,37.4053,127.699,21.9,대지방전
37:51.4,37.3953,127.443,-9.7,대지방전
40:41.5,37.3699,127.686,-16.7,대지방전
43:36.5,37.4081,127.764,9.4,대지방전
44:42.8,37.9609,126.003,-29.3,대지방전
44:43.0,37.9823,126.004,-31.2,대지방전
44:43.0,37.9421,126.036,-43.7,구름방전
44:43.0,37.9444,126.061,48,대지방전
44:43.1,38.011,126.038,28.7,구름방전
46:30.8,37.8835,125.935,-46.4,대지방전
46:30.8,37.8987,125.918,-40.4,대지방전
48:48.9,37.9681,126.047,26,대지방전
49:02.1,37.4042,125.159,36.8,대지방전
49:02.7,37.9718,125.567,14.5,대지방전
52:33.8,37.9317,125.902,-30.4,대지방전
54:54.9,37.9224,125.994,-31.3,대지방전
54:54.9,37.9363,125.988,-23.4,구름방전
56:26.6,37.4601,127.874,83.5,대지방전
58:50.7,37.433,127.949,28.2,대지방전
04:33.4,38.0578,126.312,-26.1,대지방전
04:33.5,38.1007,126.305,-30.3,대지방전
04:36.7,37.9192,125.903,-34,대지방전
05:32.7,37.9072,125.826,-30.2,대지방전
07:44.2,37.3439,125.068,-22.1,대지방전
08:17.0,37.3296,125.036,-19.6,대지방전
08:37.1,37.9125,125.918,-150.2,대지방전
08:37.1,37.9125,125.915,-37.2,대지방전
08:37.1,37.918,125.918,-21.7,대지방전
09:54.8,38.0457,125.512,16.4,구름방전
09:54.8,38.0032,125.543,-109.9,대지방전
09:57.5,37.9028,125.958,-90,대지방전
09:57.5,37.9035,125.995,-18.1,대지방전
09:57.5,37.9143,125.933,-28.6,대지방전
09:57.6,37.9241,125.932,-26.3,대지방전
