일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2019-06-01 02:13:47.408,42.2507,127.9440,82.2,대지방전
2019-06-01 02:21:37.712,42.2030,128.0610,55.2,대지방전
2019-06-01 02:28:27.682,42.2137,128.1750,71.7,대지방전
2019-06-01 16:03:09.281,37.0573,125.2250,-22.9,구름방전
2019-06-01 16:17:16.418,36.4563,120.0800,82.0,대지방전
2019-06-01 16:37:58.092,36.7780,120.5840,60.5,대지방전
2019-06-01 16:38:46.483,36.7615,120.5220,128.5,대지방전
2019-06-01 16:39:24.140,36.8184,120.5030,72.6,대지방전
2019-06-01 16:46:44.973,36.4423,120.3810,115.1,대지방전
2019-06-01 16:48:33.525,36.7607,120.5710,76.0,대지방전
2019-06-01 16:56:26.975,36.7123,120.6690,52.4,대지방전
2019-06-01 17:23:49.520,38.8259,126.2480,30.8,대지방전
2019-06-01 17:36:07.516,36.4664,120.8820,48.7,대지방전
2019-06-01 17:55:30.807,36.4874,120.9960,54.2,대지방전
2019-06-01 18:07:51.115,36.3164,121.1850,58.2,대지방전
2019-06-01 18:37:57.436,36.4120,121.6030,69.4,대지방전
2019-06-01 19:55:15.760,36.9405,120.2940,58.3,대지방전
2019-06-01 20:10:16.335,37.3460,120.8580,59.3,대지방전
2019-06-01 20:20:00.177,36.8386,121.2800,113.1,대지방전
2019-06-01 20:29:05.846,34.6479,127.3080,14.4,대지방전
2019-06-01 20:38:55.060,36.8761,121.3740,88.5,대지방전
2019-06-01 20:46:02.069,36.9429,121.1650,51.5,대지방전
2019-06-01 20:48:59.249,37.6323,120.5980,143.3,대지방전
2019-06-01 20:50:36.213,36.9978,121.4440,73.6,대지방전
2019-06-01 20:52:58.926,36.9914,121.1610,64.0,대지방전
2019-06-01 21:21:08.794,37.7799,120.4770,-97.2,대지방전
2019-06-01 21:40:15.583,36.7106,121.4300,38.0,대지방전
2019-06-01 21:45:25.095,37.4568,120.9060,142.4,대지방전
2019-06-01 21:48:11.040,36.6250,121.2170,63.1,대지방전
2019-06-01 21:56:06.496,36.9142,121.6800,79.7,대지방전
2019-06-01 22:02:11.403,36.6227,121.3230,108.9,대지방전
2019-06-01 22:17:43.796,36.8161,121.7880,53.1,대지방전
2019-06-01 22:21:07.659,36.6291,121.4930,47.2,대지방전
2019-06-01 22:32:09.740,36.7961,121.8410,37.0,구름방전
2019-06-01 22:44:26.523,37.8616,121.3300,58.4,대지방전
2019-06-01 22:45:11.117,36.7136,121.9220,39.5,대지방전
2019-06-01 22:55:16.213,37.4361,120.8400,60.6,대지방전
2019-06-01 23:10:05.040,37.1966,121.2440,41.9,대지방전
2019-06-01 23:11:14.651,37.0637,121.4510,75.5,대지방전
2019-06-01 23:16:44.638,37.8453,121.3150,85.2,대지방전
2019-06-01 23:18:35.278,37.8038,121.4260,-46.7,대지방전
2019-06-01 23:18:35.298,37.8302,121.3770,65.4,대지방전
2019-06-01 23:20:23.497,36.9854,121.5760,118.1,대지방전
2019-06-01 23:25:32.704,36.9586,121.6100,49.2,대지방전
2019-06-01 23:36:09.580,37.1650,121.4260,65.8,대지방전
2019-06-01 23:38:16.207,37.3549,121.0710,51.3,대지방전
2019-06-01 23:48:39.789,37.0732,121.5700,71.3,대지방전
2019-06-01 23:59:17.295,36.9206,121.7730,47.9,대지방전
2019-06-01 23:59:57.683,37.0583,121.6520,57.2,대지방전
2019-06-02 00:28:13.629,37.3089,121.3970,83.0,대지방전
2019-06-02 00:32:50.061,36.5406,122.1880,-29.1,대지방전
2019-06-02 00:50:11.530,37.0964,121.7830,33.5,대지방전
2019-06-02 00:51:37.855,37.1450,121.6590,33.7,대지방전
2019-06-02 00:55:46.450,37.2645,121.5450,39.4,대지방전
2019-06-02 01:13:32.770,36.5586,125.4070,-10.1,대지방전
2019-06-02 01:43:29.233,37.3815,121.2200,59.6,대지방전
2019-06-02 02:03:58.883,36.5669,125.4720,-9.7,대지방전
2019-06-02 02:36:40.433,37.2900,121.6950,38.0,대지방전
2019-06-02 03:15:52.627,34.0536,128.2780,24.5,대지방전
2019-06-02 03:17:43.627,37.3042,122.0770,59.8,대지방전
2019-06-02 03:18:32.089,37.3281,122.0040,101.7,대지방전
2019-06-02 05:21:15.657,37.6401,122.4750,51.0,대지방전
2019-06-02 06:56:04.021,37.8581,123.3640,47.5,대지방전
2019-06-02 07:04:16.184,38.0970,123.3950,79.3,대지방전
2019-06-02 08:08:29.379,37.9495,122.8280,32.3,대지방전
2019-06-02 08:14:23.144,37.9206,122.8610,169.6,대지방전
2019-06-02 12:28:36.863,35.3441,128.5180,-16.7,구름방전
2019-06-02 13:19:02.451,42.0358,129.4200,144.3,대지방전
2019-06-02 16:49:48.473,38.0568,126.7430,15.0,대지방전
2019-06-02 16:59:23.474,41.0091,122.3310,88.8,대지방전
2019-06-02 17:00:16.836,41.1603,122.0080,71.2,대지방전
2019-06-02 17:11:30.422,38.5103,125.9360,22.3,대지방전
2019-06-02 17:41:47.636,37.7267,126.6840,-10.5,구름방전
2019-06-02 17:45:29.692,37.9453,124.6890,-33.0,대지방전
2019-06-02 18:00:06.750,40.5206,122.8100,52.8,대지방전
2019-06-02 18:12:49.608,40.7143,122.8220,116.1,대지방전
2019-06-02 18:14:09.826,40.1964,126.1820,19.7,대지방전
2019-06-02 18:19:18.361,40.2297,123.0720,86.7,대지방전
2019-06-02 18:38:09.790,40.2503,123.1070,89.3,대지방전
2019-06-02 18:39:10.598,40.6587,123.5240,125.3,대지방전
2019-06-02 18:40:15.478,40.5815,123.2720,71.2,대지방전
2019-06-02 18:48:40.860,40.3923,123.2220,107.2,대지방전
2019-06-02 18:50:21.047,41.1418,123.0490,103.6,대지방전
2019-06-02 19:18:35.212,40.6707,123.8860,93.6,대지방전
2019-06-02 19:21:37.473,42.0288,121.7340,94.9,대지방전
2019-06-02 19:36:44.058,40.7325,124.0710,96.0,대지방전
2019-06-02 19:37:07.137,43.9720,125.8810,-62.7,대지방전
2019-06-02 19:37:24.756,40.6058,123.3430,62.9,대지방전
2019-06-02 19:39:10.639,40.6590,124.1380,95.1,대지방전
2019-06-02 19:39:10.696,40.6866,124.1300,36.4,대지방전
2019-06-02 19:45:41.097,37.6738,127.3670,8.0,대지방전
2019-06-02 19:48:17.658,40.6776,124.2410,98.2,대지방전
2019-06-02 19:53:15.421,40.4244,124.3100,58.1,대지방전
2019-06-02 19:56:56.478,40.2935,124.4430,32.2,대지방전
2019-06-02 19:58:33.032,40.6008,124.3080,95.7,대지방전
2019-06-02 20:01:50.529,37.9087,127.6320,9.2,구름방전
2019-06-02 20:46:53.558,38.5616,128.4240,15.0,대지방전
