일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2019-12-01 10:27:56.612,32.4759,128.0010,31.4,대지방전
2019-12-01 10:27:56.617,32.4706,128.0090,-30.4,대지방전
2019-12-01 10:35:14.806,32.5182,128.0140,-22.3,대지방전
2019-12-01 10:59:49.415,32.6497,128.7900,9.3,대지방전
2019-12-01 11:21:15.223,32.7874,128.0390,16.0,대지방전
2019-12-01 12:11:31.128,32.7211,128.4170,-11.1,대지방전
2019-12-01 12:12:07.703,32.8142,128.4150,-10.3,대지방전
2019-12-01 12:12:39.065,32.7997,128.4050,22.6,대지방전
2019-12-01 12:14:36.839,32.8036,128.3990,-10.5,대지방전
2019-12-01 12:14:56.363,32.6159,128.9270,-28.1,대지방전
2019-12-01 12:18:04.222,32.6277,128.9260,-53.0,대지방전
2019-12-01 12:18:31.250,32.8525,128.5200,23.6,대지방전
2019-12-01 12:24:05.195,32.8832,128.5590,172.4,대지방전
2019-12-01 12:24:05.235,33.1644,128.4190,11.2,구름방전
2019-12-01 12:24:05.410,32.8743,128.5680,-22.0,대지방전
2019-12-01 12:24:05.642,32.8567,128.3800,-21.6,대지방전
2019-12-01 12:47:24.482,32.4665,128.1250,27.7,대지방전
2019-12-01 13:08:43.049,32.6546,129.0620,29.5,대지방전
2019-12-01 13:23:56.773,32.9462,128.9620,17.2,대지방전
2019-12-01 13:23:56.774,32.8935,129.0050,20.5,구름방전
2019-12-01 13:23:56.776,33.0538,128.8840,16.4,대지방전
2019-12-01 13:23:56.821,32.9337,129.1060,79.7,대지방전
2019-12-01 13:23:56.890,32.8868,129.0270,19.5,대지방전
2019-12-01 13:29:32.293,32.4302,128.1090,-22.9,대지방전
2019-12-01 13:29:32.313,32.4502,128.1060,-21.4,대지방전
2019-12-01 13:29:32.342,32.4470,128.1010,-23.5,대지방전
2019-12-01 13:29:32.553,32.3968,128.1220,-27.2,구름방전
2019-12-01 13:29:32.839,32.4366,128.1060,-24.2,대지방전
2019-12-01 14:08:52.928,31.9705,126.6270,27.1,대지방전
2019-12-01 14:14:26.946,32.5510,128.6570,-26.8,대지방전
2019-12-01 14:22:21.545,32.6378,128.7400,21.4,대지방전
2019-12-01 14:22:21.630,32.6507,128.7490,31.9,대지방전
2019-12-01 14:27:09.999,32.9319,129.3420,51.0,대지방전
2019-12-01 14:38:17.641,32.9995,129.4080,160.5,대지방전
2019-12-01 14:42:06.913,33.0463,129.4520,55.7,대지방전
2019-12-01 15:28:40.775,32.7666,129.0040,192.4,대지방전
2019-12-01 15:30:33.340,32.3702,128.0210,21.4,대지방전
2019-12-01 15:34:16.273,32.8759,129.0330,33.7,대지방전
2019-12-01 15:34:16.280,32.8069,129.0670,62.0,대지방전
2019-12-01 15:37:10.856,32.8694,129.0550,14.9,대지방전
2019-12-01 16:12:40.760,33.0740,129.4970,14.3,대지방전
2019-12-01 16:12:40.935,33.4162,129.5310,46.2,대지방전
2019-12-01 16:12:41.146,33.1558,129.3920,-24.4,대지방전
2019-12-01 16:12:41.185,33.1480,129.3980,-30.6,대지방전
2019-12-01 16:12:41.205,33.1253,129.4160,-14.5,대지방전
2019-12-01 16:12:41.726,33.1391,129.4050,-30.0,대지방전
2019-12-01 16:25:34.958,32.9073,129.0170,-13.8,구름방전
2019-12-01 16:25:35.392,32.9364,129.1000,17.6,대지방전
2019-12-01 16:25:35.610,33.1177,129.3410,49.3,대지방전
2019-12-01 16:27:59.969,32.9562,129.0950,21.7,대지방전
2019-12-01 16:28:00.071,32.9226,129.1160,53.7,대지방전
2019-12-01 16:28:00.496,33.0616,129.3070,-19.7,대지방전
2019-12-01 16:28:00.574,33.0366,129.3260,-13.8,대지방전
2019-12-01 16:28:00.617,33.0116,129.3430,-16.7,대지방전
2019-12-01 16:29:48.327,32.1750,128.1140,110.1,대지방전
2019-12-01 16:36:08.816,32.9762,129.1150,-39.6,대지방전
2019-12-01 16:36:08.823,32.9722,129.2230,-11.9,구름방전
2019-12-01 16:36:08.869,32.9800,129.1170,42.3,대지방전
2019-12-01 16:36:09.059,33.2601,129.4830,68.7,대지방전
2019-12-01 16:36:09.561,32.8995,129.1050,-20.2,구름방전
2019-12-01 16:37:38.363,31.9153,128.1070,98.4,대지방전
2019-12-01 16:45:47.571,32.3904,128.2860,61.0,대지방전
2019-12-01 16:47:04.593,32.4164,128.1990,25.5,대지방전
2019-12-01 16:47:04.670,32.4144,128.2040,35.6,대지방전
2019-12-01 16:50:21.747,32.6111,129.5360,-16.3,대지방전
2019-12-01 16:50:33.816,33.0164,129.1730,113.3,대지방전
2019-12-01 16:50:33.839,33.0255,129.1680,20.2,대지방전
2019-12-01 16:51:41.905,32.9964,129.1550,71.5,대지방전
2019-12-01 16:52:40.918,32.9842,129.2020,58.8,대지방전
2019-12-01 16:52:41.031,32.9932,129.1970,9.6,대지방전
2019-12-01 16:52:41.459,33.1257,129.4780,52.4,대지방전
2019-12-01 16:54:08.891,32.7471,128.9850,63.4,대지방전
2019-12-01 16:54:08.939,32.7889,128.9790,22.1,대지방전
2019-12-01 16:55:53.138,32.7599,128.9910,26.0,대지방전
2019-12-01 16:57:21.958,32.8053,128.9840,20.7,대지방전
2019-12-01 17:00:06.614,32.7898,129.0080,-34.2,대지방전
2019-12-01 17:00:06.748,32.7320,129.0500,31.5,대지방전
2019-12-01 17:02:12.718,33.0594,129.1860,153.2,대지방전
2019-12-01 17:02:12.844,33.0991,129.2830,-12.3,대지방전
2019-12-01 17:02:12.850,33.1100,129.2720,26.0,대지방전
2019-12-01 17:03:06.670,32.8177,129.0420,-36.2,대지방전
2019-12-01 17:04:00.900,32.8191,129.0810,-26.8,구름방전
2019-12-01 17:07:01.131,32.9135,128.9940,24.8,대지방전
2019-12-01 17:07:53.045,33.1091,129.2820,-26.6,대지방전
2019-12-01 17:07:53.130,33.1355,129.2500,55.3,대지방전
2019-12-01 17:10:43.301,33.1565,129.2940,13.4,대지방전
2019-12-01 17:10:43.385,33.1665,129.3390,22.1,대지방전
2019-12-01 17:11:41.645,32.8904,129.1700,39.8,대지방전
2019-12-01 17:13:21.180,32.9039,129.1750,23.4,대지방전
2019-12-01 17:14:34.834,33.1280,129.3510,-29.1,대지방전
2019-12-01 17:14:34.834,33.1419,129.3400,-30.5,대지방전
2019-12-01 17:14:34.838,33.1461,129.3470,16.7,대지방전
2019-12-01 17:14:34.917,33.1428,129.3790,32.4,대지방전
2019-12-01 17:15:49.798,33.0121,129.3760,-46.9,대지방전
2019-12-01 17:18:05.625,32.8429,129.6160,-23.7,대지방전
2019-12-01 17:18:05.626,32.8347,129.6210,-21.8,대지방전
2019-12-01 17:18:05.662,32.8318,129.6320,55.2,대지방전
2019-12-01 17:19:03.568,32.8385,129.6640,15.4,대지방전
2019-12-01 17:19:12.103,33.2481,129.2340,8.9,구름방전
2019-12-01 17:20:40.888,33.1280,129.3950,13.9,대지방전
2019-12-01 17:20:41.162,33.1045,129.4260,15.2,대지방전
2019-12-01 17:21:52.838,31.8443,127.7250,-31.2,대지방전
2019-12-01 17:23:22.243,32.8488,129.6500,-15.1,대지방전
2019-12-01 17:23:22.339,32.8737,129.6870,25.5,대지방전
2019-12-01 17:25:52.044,32.9761,129.3890,-52.2,대지방전
2019-12-01 17:25:52.044,32.9961,129.3740,-23.0,대지방전
2019-12-01 17:25:52.075,32.9640,129.3910,85.2,대지방전
2019-12-01 17:28:29.268,32.9830,129.4230,-30.3,대지방전
2019-12-01 17:28:29.320,33.0055,129.4060,42.0,대지방전
2019-12-01 17:30:24.141,33.0194,129.3380,-78.5,대지방전
2019-12-01 17:30:24.169,32.9836,129.3630,-17.0,대지방전
2019-12-01 17:31:42.474,32.9673,129.6830,135.8,대지방전
2019-12-01 17:31:42.663,32.9397,129.8720,19.7,대지방전
2019-12-01 17:32:43.058,33.0446,129.4190,36.2,대지방전
2019-12-01 17:34:31.000,33.1370,129.3480,-28.8,대지방전
2019-12-01 17:35:06.248,32.9090,129.5060,39.3,대지방전
2019-12-01 17:35:41.729,33.0906,129.4620,-41.0,대지방전
2019-12-01 17:35:41.837,33.0992,129.4530,-16.9,대지방전
2019-12-01 17:36:04.955,32.9522,129.7130,22.8,대지방전
2019-12-01 17:36:17.315,33.1374,129.3660,-11.9,대지방전
2019-12-01 17:37:06.801,33.0896,129.4450,-30.1,대지방전
2019-12-01 17:37:06.824,33.0961,129.4410,-26.3,대지방전
2019-12-01 17:37:06.869,33.1045,129.4570,-23.6,대지방전
2019-12-01 17:37:07.009,33.0736,129.4210,-18.8,대지방전
2019-12-01 17:37:50.014,33.1069,129.4450,-79.9,대지방전
2019-12-01 17:37:50.053,33.0879,129.4760,-19.7,대지방전
2019-12-01 17:38:16.383,33.1958,129.9460,-9.7,대지방전
2019-12-01 17:38:16.439,33.0490,129.9750,-40.8,대지방전
2019-12-01 17:38:16.486,33.0261,129.9960,-13.6,대지방전
2019-12-01 17:38:33.107,33.0874,129.4670,-94.9,대지방전
2019-12-01 17:38:33.166,33.0859,129.4640,-12.8,대지방전
2019-12-01 17:38:33.233,33.0796,129.4660,-12.6,대지방전
2019-12-01 17:38:33.424,33.0539,129.4950,-12.8,대지방전
2019-12-01 17:38:59.452,33.0157,129.7010,44.9,대지방전
2019-12-01 17:38:59.607,33.1493,129.6020,30.8,대지방전
2019-12-01 17:38:59.880,33.2422,129.5000,-32.1,대지방전
2019-12-01 17:38:59.940,33.1202,129.4560,-52.1,대지방전
2019-12-01 17:39:00.072,33.3136,129.5450,18.6,대지방전
2019-12-01 17:39:09.579,33.1911,129.3620,-13.3,대지방전
2019-12-01 17:39:20.961,33.1053,129.4670,-15.3,대지방전
2019-12-01 17:39:21.130,33.1028,129.4960,-14.3,대지방전
2019-12-01 17:39:50.369,33.1217,129.4690,-64.6,대지방전
2019-12-01 17:39:50.395,33.0988,129.4880,-22.6,대지방전
2019-12-01 17:40:06.385,33.1899,129.3610,-26.8,대지방전
2019-12-01 17:40:06.488,33.1354,129.3890,-13.5,대지방전
2019-12-01 17:40:06.582,33.2896,129.3370,-19.3,대지방전
2019-12-01 17:40:13.910,33.1211,129.4710,-43.3,대지방전
2019-12-01 17:40:33.649,33.1524,129.4560,-28.6,대지방전
2019-12-01 17:40:33.737,33.1288,129.4750,-12.6,대지방전
2019-12-01 17:40:33.859,33.1240,129.4840,-23.6,대지방전
2019-12-01 17:40:33.961,33.0700,129.4900,17.6,대지방전
2019-12-01 17:40:57.155,33.1216,129.5010,-18.6,대지방전
2019-12-01 17:40:57.321,33.1244,129.5030,-11.8,대지방전
2019-12-01 17:40:57.405,33.1369,129.4920,-12.6,대지방전
2019-12-01 17:41:22.949,33.1345,129.4870,-50.5,대지방전
2019-12-01 17:41:23.026,33.1081,129.4850,-24.6,대지방전
2019-12-01 17:41:23.080,33.1047,129.4900,-22.9,대지방전
2019-12-01 17:41:40.054,33.0895,129.4840,-38.0,대지방전
2019-12-01 17:41:40.118,33.1084,129.4690,-36.6,구름방전
2019-12-01 17:41:40.172,33.1001,129.4750,-20.3,대지방전
2019-12-01 17:41:49.579,33.0395,129.7210,-28.9,대지방전
2019-12-01 17:41:49.683,33.0480,129.7310,27.4,대지방전
2019-12-01 17:41:49.888,33.0171,129.6950,15.8,대지방전
2019-12-01 17:42:17.630,33.1368,129.5110,-79.1,대지방전
2019-12-01 17:43:11.922,33.1321,129.5040,-85.3,대지방전
2019-12-01 17:43:12.027,33.1491,129.5210,-30.9,대지방전
2019-12-01 17:43:12.060,33.1479,129.5200,-34.2,대지방전
2019-12-01 17:43:12.111,33.1437,129.5240,-66.5,대지방전
2019-12-01 17:43:34.471,33.1099,129.5000,-40.2,대지방전
2019-12-01 17:43:34.502,33.1027,129.4970,-11.0,대지방전
2019-12-01 17:43:35.097,33.4539,129.2410,-13.7,대지방전
2019-12-01 17:43:55.783,33.0657,129.7430,36.9,대지방전
2019-12-01 17:44:12.473,33.0946,129.5170,-52.6,대지방전
2019-12-01 17:44:12.491,33.0962,129.5140,-16.1,대지방전
2019-12-01 17:44:12.505,33.1241,129.4960,-13.9,대지방전
2019-12-01 17:44:12.546,33.1161,129.5010,-31.0,대지방전
2019-12-01 17:44:12.623,33.1035,129.5100,-34.0,대지방전
2019-12-01 17:44:12.661,33.0974,129.5070,-24.7,대지방전
2019-12-01 17:44:49.960,33.1078,129.5140,-37.7,대지방전
2019-12-01 17:44:50.007,33.1132,129.5080,-50.9,대지방전
2019-12-01 17:44:50.044,33.1365,129.5050,-26.2,대지방전
