일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2020-11-01 01:10:12.069,39.8994,124.8260,113.2,대지방전
2020-11-01 02:48:21.593,32.4050,128.5260,25.0,대지방전
2020-11-01 05:17:15.087,39.0196,124.8700,27.3,대지방전
2020-11-01 05:17:15.116,39.0031,124.8290,86.1,대지방전
2020-11-01 05:31:28.785,39.0615,124.9050,-31.4,대지방전
2020-11-01 05:38:06.358,39.0406,125.0020,-49.3,대지방전
2020-11-01 15:51:54.874,37.4937,130.9560,-21.7,대지방전
2020-11-02 00:07:27.819,36.1351,128.6120,-7.6,대지방전
2020-11-02 18:46:16.841,37.2409,124.3130,41.3,대지방전
2020-11-02 18:46:17.001,37.2246,124.3300,-15.0,대지방전
2020-11-02 20:20:37.462,36.6088,123.1790,-17.0,대지방전
2020-11-02 21:00:50.345,37.1510,123.1980,152.9,대지방전
2020-11-02 21:09:31.001,32.7996,128.5940,-11.1,대지방전
2020-11-02 21:17:50.316,36.9119,124.5430,54.8,대지방전
2020-11-02 21:42:16.438,37.3928,125.3880,13.4,대지방전
2020-11-02 22:13:20.331,41.7388,131.9250,68.0,대지방전
2020-11-02 22:24:50.165,37.0534,126.0240,26.2,구름방전
2020-11-02 22:24:50.166,37.0365,126.0370,-95.4,대지방전
2020-11-02 22:44:45.218,37.2611,125.7820,-8.3,구름방전
2020-11-02 22:44:45.302,37.2291,125.7810,-15.2,구름방전
2020-11-02 22:48:15.056,37.2404,125.8210,-45.4,대지방전
2020-11-02 22:57:44.286,37.2375,125.8880,-15.1,대지방전
2020-11-02 23:01:22.496,36.8652,124.5080,-27.0,대지방전
2020-11-02 23:19:40.035,35.9800,124.8720,-8.7,대지방전
2020-11-02 23:19:40.054,36.0765,124.9610,10.5,대지방전
2020-11-02 23:35:31.705,36.6589,125.6100,-24.0,대지방전
2020-11-02 23:35:31.757,36.6337,125.6960,-34.5,대지방전
2020-11-02 23:38:20.234,36.6586,125.6360,10.4,구름방전
2020-11-02 23:38:20.243,36.6564,125.5740,-14.1,구름방전
2020-11-02 23:38:20.255,36.6508,125.6310,-6.9,대지방전
2020-11-02 23:38:20.258,36.6479,125.6320,-33.5,대지방전
2020-11-02 23:38:20.280,36.6559,125.6480,-9.1,대지방전
