일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2020-10-01 00:22:50.257,34.2008,133.5220,-53.9,대지방전
2020-10-01 13:22:57.389,36.8801,127.9000,-10.3,대지방전
2020-10-01 18:57:03.675,38.4293,124.6570,-53.1,대지방전
2020-10-01 22:29:39.057,36.5194,125.5080,11.9,구름방전
2020-10-01 23:10:27.574,39.0269,121.7620,-61.9,구름방전
2020-10-02 00:02:02.071,38.7830,122.9260,30.6,대지방전
2020-10-02 00:02:38.812,39.0810,122.1170,-103.8,대지방전
2020-10-02 01:32:54.923,39.2141,123.9320,23.5,대지방전
2020-10-02 01:36:24.770,38.9808,123.7110,-92.9,대지방전
2020-10-02 01:37:45.662,39.2418,124.0440,146.5,대지방전
2020-10-02 01:41:23.994,39.2605,124.0360,-67.3,대지방전
2020-10-02 01:46:54.196,39.3032,124.1240,180.1,대지방전
2020-10-02 01:48:24.048,38.9498,123.9220,-25.2,대지방전
2020-10-02 01:50:12.478,39.1832,124.1570,138.4,대지방전
2020-10-02 01:54:34.043,39.2801,124.3440,91.0,대지방전
2020-10-02 01:54:34.929,39.4416,124.2310,-26.5,대지방전
2020-10-02 01:56:53.559,39.3558,124.2760,84.2,대지방전
2020-10-02 02:18:02.693,38.8965,123.0370,34.8,대지방전
2020-10-02 02:25:32.306,38.9602,123.9240,-87.6,대지방전
2020-10-02 02:25:32.334,38.9329,124.0150,-25.6,대지방전
2020-10-02 02:28:34.474,38.7990,123.4200,91.7,대지방전
2020-10-02 02:30:18.789,38.9892,123.9730,-35.3,대지방전
2020-10-02 02:34:30.595,38.8284,123.4820,54.6,대지방전
2020-10-02 02:37:22.597,38.8328,123.7220,90.7,대지방전
2020-10-02 02:38:11.715,38.8302,123.0230,31.2,대지방전
2020-10-02 02:38:43.396,39.0943,123.9940,33.4,대지방전
2020-10-02 02:38:43.782,38.9309,123.8230,-37.0,대지방전
2020-10-02 02:40:32.884,39.0630,123.9730,33.8,대지방전
2020-10-02 02:48:58.316,39.0400,124.0200,24.6,대지방전
2020-10-02 02:50:41.474,39.0126,124.1020,22.1,대지방전
2020-10-02 02:54:17.489,38.4504,122.8930,29.9,대지방전
2020-10-02 02:56:31.489,38.4620,122.6720,35.6,대지방전
2020-10-02 02:58:13.694,39.1236,123.3860,24.5,대지방전
2020-10-02 03:02:48.114,38.9711,124.1210,39.6,대지방전
2020-10-02 03:05:38.876,38.9766,124.2890,27.3,대지방전
2020-10-02 03:15:31.174,38.7453,123.8610,23.9,대지방전
2020-10-02 03:15:43.940,38.9769,124.2630,67.0,대지방전
2020-10-02 03:17:23.500,38.8172,123.8170,-45.5,대지방전
2020-10-02 03:19:24.535,38.9741,124.2300,36.6,대지방전
2020-10-02 03:25:34.906,38.6421,123.4610,-42.3,대지방전
2020-10-02 03:27:09.862,38.6572,123.4520,-54.1,대지방전
2020-10-02 03:33:21.199,38.5097,123.1680,24.8,대지방전
2020-10-02 03:33:30.719,39.0233,124.4050,123.7,대지방전
2020-10-02 03:33:33.989,38.8113,123.9670,-31.6,대지방전
2020-10-02 03:34:08.869,38.7406,123.4850,-73.3,대지방전
2020-10-02 03:35:34.436,38.8287,124.1590,29.7,대지방전
2020-10-02 03:36:39.761,38.5969,123.7190,-45.8,대지방전
2020-10-02 03:37:29.302,38.8134,124.2240,-34.5,대지방전
2020-10-02 03:41:02.807,38.9868,124.4920,-41.7,대지방전
2020-10-02 03:41:02.904,39.0411,124.4010,27.3,대지방전
2020-10-02 03:43:11.840,39.0069,124.4510,50.9,대지방전
2020-10-02 03:45:11.653,38.9860,124.5240,29.0,대지방전
2020-10-02 03:50:50.599,38.6139,124.0020,-25.3,대지방전
2020-10-02 03:53:29.306,38.9451,124.5830,-19.5,대지방전
2020-10-02 03:55:47.760,39.0996,124.7280,-22.7,대지방전
2020-10-02 03:56:01.604,39.0690,124.6280,24.6,대지방전
2020-10-02 03:59:45.368,38.6952,124.0860,28.4,대지방전
2020-10-02 04:01:05.145,38.9184,124.6200,40.1,대지방전
2020-10-02 04:01:05.788,38.7803,124.3520,-37.9,대지방전
2020-10-02 04:02:38.885,39.1900,124.6520,81.8,대지방전
2020-10-02 04:03:36.320,38.9939,124.6600,34.6,대지방전
2020-10-02 04:06:45.676,38.7097,124.1900,-53.3,대지방전
2020-10-02 04:08:02.147,38.8095,124.5530,41.6,대지방전
2020-10-02 04:08:27.220,39.1029,124.9080,-35.1,대지방전
2020-10-02 04:08:27.260,39.1306,124.8820,-28.9,대지방전
2020-10-02 04:10:10.080,38.8374,124.8200,34.9,대지방전
2020-10-02 04:11:34.993,38.9155,124.5970,-35.0,대지방전
2020-10-02 04:15:35.071,39.2290,124.8720,123.9,대지방전
2020-10-02 04:16:13.365,38.8527,124.6600,52.6,대지방전
2020-10-02 04:16:36.086,38.6246,124.1800,-29.4,대지방전
2020-10-02 04:18:49.265,38.9266,124.7540,35.2,대지방전
2020-10-02 04:19:57.790,37.6779,125.1640,-16.6,대지방전
2020-10-02 04:20:20.809,38.8751,124.6900,51.4,대지방전
2020-10-02 04:22:24.824,38.6124,124.2980,-26.2,대지방전
2020-10-02 04:23:28.498,38.8761,124.7130,-29.5,대지방전
2020-10-02 04:23:28.594,38.6349,125.1680,21.1,대지방전
2020-10-02 04:27:22.878,38.9151,124.8120,33.6,대지방전
2020-10-02 04:30:37.823,38.8156,124.6980,26.8,대지방전
2020-10-02 04:33:07.317,38.8065,124.7870,-22.8,대지방전
2020-10-02 04:34:31.906,38.9096,124.8710,30.3,대지방전
2020-10-02 04:37:28.511,38.9077,124.8590,23.7,대지방전
2020-10-02 04:38:28.300,38.7553,124.6740,-51.0,대지방전
2020-10-02 04:40:08.131,38.4934,123.9630,-19.6,대지방전
2020-10-02 04:40:35.550,38.8898,124.9380,-31.7,대지방전
2020-10-02 04:40:35.713,38.9213,124.8900,27.1,대지방전
2020-10-02 04:41:46.142,38.7498,124.7450,-47.4,대지방전
2020-10-02 04:43:15.479,33.9429,125.6610,-15.7,대지방전
2020-10-02 04:43:41.319,38.7969,124.9080,33.1,대지방전
2020-10-02 04:45:20.226,38.7613,124.7300,-30.5,대지방전
2020-10-02 04:46:15.889,38.7279,124.6210,40.8,대지방전
2020-10-02 04:46:16.506,39.0073,124.9020,30.9,대지방전
2020-10-02 04:46:39.073,38.8698,124.9640,-49.3,대지방전
2020-10-02 04:47:27.069,38.7506,124.7950,-17.7,대지방전
2020-10-02 04:51:30.473,38.7475,124.9910,-23.3,대지방전
2020-10-02 04:53:10.087,38.9400,125.0880,28.7,대지방전
2020-10-02 04:56:53.090,38.7944,124.9810,-43.6,대지방전
2020-10-02 05:05:30.462,38.7192,124.9750,-28.2,대지방전
2020-10-02 05:05:31.105,38.7909,125.1010,-27.7,대지방전
2020-10-02 05:12:13.178,38.7479,125.0010,-42.3,구름방전
2020-10-02 05:12:13.199,38.7171,125.0360,-16.5,대지방전
2020-10-02 05:13:30.729,38.8179,125.0310,45.4,대지방전
2020-10-02 05:13:31.180,38.7017,124.9380,-28.3,대지방전
2020-10-02 05:30:06.340,38.7129,125.2690,36.0,대지방전
2020-10-02 05:30:06.472,38.8573,125.3970,27.1,대지방전
2020-10-02 05:33:21.394,38.7651,125.3970,-24.7,대지방전
2020-10-02 05:33:21.420,38.8026,125.3540,-22.5,대지방전
2020-10-02 05:36:39.931,38.6113,125.0570,22.3,대지방전
2020-10-02 05:36:52.368,38.6523,125.1680,-32.4,대지방전
2020-10-02 05:36:52.466,38.7199,125.1450,-35.1,대지방전
2020-10-02 05:45:00.595,38.6887,125.2040,47.4,대지방전
2020-10-02 05:47:29.098,38.7141,125.1180,48.0,대지방전
2020-10-04 01:48:28.188,40.5225,122.6460,94.0,대지방전
2020-10-04 10:31:50.602,39.3517,124.7740,34.8,대지방전
2020-10-04 13:30:15.719,39.6042,126.6470,115.6,대지방전
2020-10-04 13:36:47.067,39.6469,126.7400,39.3,대지방전
2020-10-04 16:08:37.955,39.8934,129.3450,32.8,대지방전
2020-10-04 16:16:21.729,40.1248,129.5640,61.7,대지방전
2020-10-04 16:17:17.483,39.7326,129.2420,32.1,대지방전
2020-10-04 16:40:32.591,39.5039,129.4230,104.6,대지방전
2020-10-04 16:42:21.120,39.8019,129.5790,37.4,대지방전
2020-10-04 16:43:57.374,39.7865,129.6330,51.3,대지방전
2020-10-04 16:46:47.278,39.5294,129.5280,72.3,대지방전
2020-10-04 16:47:50.614,39.7990,129.7100,45.9,대지방전
2020-10-04 16:59:38.865,39.7020,129.8110,54.3,대지방전
2020-10-04 17:04:13.767,39.8673,130.0040,23.3,대지방전
2020-10-04 17:32:38.226,40.1275,130.5030,87.5,대지방전
2020-10-04 17:36:13.677,40.0761,130.5650,149.6,대지방전
2020-10-04 17:38:18.138,40.1371,130.5770,60.4,대지방전
2020-10-06 00:58:06.752,33.9181,125.7050,-14.1,구름방전
2020-10-07 03:18:07.664,34.4149,126.6020,8.3,대지방전
2020-10-08 19:57:02.007,30.6851,135.0450,146.5,대지방전
2020-10-09 01:00:13.556,31.7045,135.7890,153.2,대지방전
2020-10-10 01:47:52.890,34.0814,125.8170,-14.1,구름방전
2020-10-11 21:27:56.351,34.6134,131.8830,-28.3,대지방전
2020-10-13 15:32:47.969,39.1867,124.4460,36.4,대지방전
2020-10-13 15:34:53.568,38.9718,123.6670,178.6,대지방전
2020-10-13 15:45:34.514,39.1206,124.1170,82.0,대지방전
2020-10-13 15:51:07.179,39.2766,124.6310,40.6,대지방전
2020-10-13 15:51:07.194,39.2415,124.7010,40.1,대지방전
2020-10-13 15:53:32.297,39.2520,124.6560,75.3,대지방전
2020-10-13 16:02:42.620,38.8433,123.8480,177.6,대지방전
2020-10-13 16:05:00.657,39.2616,124.7280,60.7,대지방전
2020-10-13 16:05:40.430,38.9332,123.9040,106.9,대지방전
2020-10-13 16:38:50.021,38.9609,125.1410,21.2,대지방전
2020-10-13 16:43:06.715,38.8471,125.2490,-23.7,구름방전
2020-10-13 16:43:06.740,39.0414,125.0840,34.2,대지방전
2020-10-13 16:45:04.676,39.0536,125.0750,62.3,대지방전
2020-10-13 16:48:01.429,39.0732,125.1240,80.5,대지방전
2020-10-13 16:50:05.242,39.0702,125.1720,75.1,대지방전
2020-10-13 16:50:06.210,38.6540,124.2080,-30.7,대지방전
2020-10-13 16:54:12.352,39.0478,125.1620,32.5,대지방전
2020-10-13 22:25:03.494,39.4635,125.6980,56.9,대지방전
2020-10-13 22:41:44.600,39.3685,125.7570,-26.6,대지방전
2020-10-13 22:41:44.779,39.4338,125.7770,-46.0,대지방전
2020-10-13 22:41:44.792,39.4175,125.7880,-35.2,대지방전
2020-10-13 22:43:26.842,34.5571,126.8910,7.9,대지방전
2020-10-15 04:27:30.732,37.7319,125.0540,-20.2,구름방전
2020-10-15 06:40:40.690,40.4152,122.9370,-64.9,대지방전
2020-10-15 07:10:53.401,40.2780,123.5290,103.0,대지방전
2020-10-15 07:15:25.674,40.3540,123.5410,75.1,대지방전
2020-10-15 09:20:53.048,40.1227,122.8780,74.4,대지방전
2020-10-15 10:13:49.882,39.1383,122.0240,133.2,대지방전
2020-10-15 10:36:44.648,39.0853,122.0570,32.4,대지방전
2020-10-15 10:37:38.908,39.0712,122.0460,34.1,대지방전
2020-10-15 10:45:27.793,39.0538,122.1020,37.1,대지방전
2020-10-15 11:43:26.779,38.9621,122.0920,57.0,대지방전
2020-10-15 11:45:38.462,38.9955,122.0530,55.9,대지방전
2020-10-15 11:51:04.778,38.9923,122.0680,92.1,대지방전
2020-10-15 11:54:20.326,38.9819,122.0590,37.4,대지방전
2020-10-15 12:02:57.789,38.9825,121.8000,33.4,대지방전
